,PROBLEM_ID,TITLE_NM,TAGS_NM,SOLVED_LVL,HASH_ID
0,1000,A+B,impl arithmetic math,1,1000
1,1001,A-B,impl arithmetic math,1,1001
2,1008,A/B,impl arithmetic math,1,1008
3,1010,다리 놓기,math dp combinatorics,6,1010
4,1026,보물,math greedy sorting,7,1026
5,1046,그림자,impl sorting geom sweeping line segment intersection check angle sorting,23,1046
6,1067,이동,math fft,20,1067
7,1144,싼 비용,dp dp using connection profile,23,1144
8,1150,백업,ds greedy priority queue,22,1150
9,1179,마지막 요세푸스 문제,math dp recursion,20,1179
10,1180,선인장의 지름,biconnected component cactus ds dp tree dp graph tree,23,1180
11,1218,로봇,impl ds geom sweeping stack compression,25,1218
12,1279,내멋대로 주사위,math dp combinatorics knapsack,15,1279
13,1281,보석상,graph flow mcmf hungarian lp duality,22,1281
14,1311,할 일 정하기 1,dp bitmask bitfield dp,15,1311
15,1336,수열의 개수 NKD,dp prefix sum,18,1336
16,1538,공 칠하기,combinatorics dp gaussian elimination linear algebra math,22,1538
17,1563,개근상,dp,12,1563
18,1608,스타 대회,graph dag topological sorting scc,22,1608
19,1616,드럼통 메시지,graph eulerian path,23,1616
20,1628,수,dp greedy prefix sum,25,1628
21,1629,곱셈,math exponentiation by squaring,10,1629
22,1659,수 (Hard),dp greedy prefix sum,25,1659
23,1708,볼록 껍질,geom convex hull angle sorting,16,1708
24,1717,집합의 표현,ds dsu,11,1717
25,1725,히스토그램,ds segtree d&c stack,16,1725
26,1753,최단경로,graph shortest path dijkstra's,12,1753
27,1763,트리 색칠,dp ds greedy tree dsu priority queue,24,1763
28,1786,찾기,string kmp,16,1786
29,1840,스도쿠,backtrack x dancing links,24,1840
30,1841,군사 배치,binary search dijkstra's flow graph mfmc shortest path,23,1841
31,1842,게임하기,game theory sprague–grundy thm,25,1842
32,1848,동굴 탐험,graph shortest path dijkstra's d&c,21,1848
33,1868,보물찾기,dp graph greedy traversal tree tree dp,26,1868
34,1882,분수 찾기,binary search math number theory,18,1882
35,1910,위닝,gaussian elimination linear algebra math,21,1910
36,1931,회의실 배정,greedy sorting,11,1931
37,1947,선물 전달,math dp combinatorics,13,1947
38,2041,숫자채우기,ad-hoc constructive,20,2041
39,2042,구간 합 구하기,segtree ds,15,2042
40,2043,수 묶기,flow mcmf graph,19,2043
41,2076,2차원 벡터,geom sorting sweeping two-pointer,19,2076
42,2125,좀,convex hull dijkstra's geom graph line segment intersection check point in convex polygon check shortest path,23,2125
43,2143,두 배열의 합,ds binary search set prefix sum hashset,13,2143
44,2239,스도쿠,impl backtrack,12,2239
45,2252,줄 세우기,graph dag topological sorting,13,2252
46,2261,가장 가까운 두 점,geom sweeping d&c,19,2261
47,2301,마법 구슬,math constructive d&c invariant,20,2301
48,2336,굉장한 학생,ds segtree,19,2336
49,2356,제곱 ㄷㄷ 수,math greedy string,14,2356
50,1003,피보나치 함수,dp,8,1003
51,1005,ACM Craft,dp graph dag topological sorting,13,1005
52,1006,습격자 초라기,dp,18,1006
53,1007,벡터 매칭,math bruteforce,14,1007
54,1009,분산처리,math impl,4,1009
55,1015,수열 정렬,sorting,7,1015
56,1016,제곱 ㄴㄴ 수,math number theory primality test eratosthenes,15,1016
57,1021,회전하는 큐,ds deque,8,1021
58,1024,수열의 합,math,9,1024
59,1040,정수,dp greedy bitmask digit dp,19,1040
60,1048,유니콘,dp prefix sum,17,1048
61,1058,친구,graph bruteforce traversal set shortest path floyd–warshall,9,1058
62,1067,이동,math fft,20,1067
63,1074,Z,d&c recursion,11,1074
64,1110,더하기 사이클,math impl,5,1110
65,1111,IQ Test,math impl bruteforce case work,13,1111
66,1112,진법 변환,math impl number theory,13,1112
67,1113,수영장 만들기,impl graph traversal simulation bfs grid graph,15,1113
68,1114,통나무 자르기,greedy binary search parametric search,15,1114
69,1115,순열,graph,15,1115
70,1116,순열 2,graph greedy,19,1116
71,1119,그래프,graph ds traversal dfs dsu,15,1119
72,1121,도형,dp sorting geom knapsack,18,1121
73,1131,숫자,dp graph traversal dfs,16,1131
74,1149,RGB거리,dp,10,1149
75,1150,백업,ds greedy priority queue,22,1150
76,1158,요세푸스 문제,impl ds queue,7,1158
77,1179,마지막 요세푸스 문제,math dp recursion,20,1179
78,1192,장갑,math ds bruteforce bitmask stack,22,1192
79,1197,최소 스패닝 트리,mst graph,12,1197
80,1202,보석 도둑,ds greedy sorting priority queue,14,1202
81,1209,단조수열 만들기,dp,17,1209
82,1210,마피아,graph flow mfmc,20,1210
83,1215,잘못 작성한 요세푸스 코드,math number theory,17,1215
84,1226,국회,dp greedy sorting knapsack traceback,17,1226
85,1257,엄청난 부자,math graph greedy shortest path dijkstra's 0-1 bfs,21,1257
86,1260,DFS와 BFS,graph traversal bfs dfs,9,1260
87,1266,일어나!,geom line segment intersection check sweeping,23,1266
88,1275,커피숍2,segtree ds,15,1275
89,1280,나무 심기,ds segtree,17,1280
90,1281,보석상,graph flow mcmf hungarian lp duality,22,1281
91,1300,K번째 수,binary search parametric search,15,1300
92,1315,RPG,dp,18,1315
93,1328,고층 빌딩,math dp combinatorics,16,1328
94,1395,스위치,ds segtree lazyprop,18,1395
95,1396,크루스칼의 공,graph ds tree binary search dsu mst lca pbs,20,1396
96,1420,학교 가지마!,graph flow grid graph mfmc,19,1420
97,1463,1로 만들기,dp,8,1463
98,1504,특정한 최단 경로,graph shortest path dijkstra's,12,1504
99,1516,게임 개발,dp graph dag topological sorting,13,1516
